time 	displacement
0.000000 	 1.015832
0.007854 	 1.031918
0.015708 	 1.048268
0.023562 	 1.064888
0.031416 	 1.081789
0.039270 	 1.098980
0.047124 	 1.116470
0.054978 	 1.134269
0.062832 	 1.152388
0.070686 	 1.170839
0.078540 	 1.189631
0.086394 	 1.208778
0.094248 	 1.228292
0.102102 	 1.248187
0.109956 	 1.268474
0.117810 	 1.289171
0.125664 	 1.310290
0.133518 	 1.331849
0.141372 	 1.353863
0.149226 	 1.376351
0.157080 	 1.399330
0.164934 	 1.422819
0.172788 	 1.446839
0.180642 	 1.471412
0.188496 	 1.496558
0.196350 	 1.522303
0.204204 	 1.548671
0.212058 	 1.575688
0.219911 	 1.603381
0.227765 	 1.631781
0.235619 	 1.660919
0.243473 	 1.690826
0.251327 	 1.721538
0.259181 	 1.753091
0.267035 	 1.785526
0.274889 	 1.818882
0.282743 	 1.853205
0.290597 	 1.888542
0.298451 	 1.924943
0.306305 	 1.962460
0.314159 	 2.001152
0.322013 	 2.041079
0.329867 	 2.082306
0.337721 	 2.124904
0.345575 	 2.168947
0.353429 	 2.214516
0.361283 	 2.261697
0.369137 	 2.310584
0.376991 	 2.361277
0.384845 	 2.413885
0.392699 	 2.468525
0.400553 	 2.525324
0.408407 	 2.584421
0.416261 	 2.645965
0.424115 	 2.710119
0.431969 	 2.777062
0.439823 	 2.846988
0.447677 	 2.920111
0.455531 	 2.996663
0.463385 	 3.076903
0.471239 	 3.161113
0.479093 	 3.249607
0.486947 	 3.342732
0.494801 	 3.440873
0.502655 	 3.544460
0.510509 	 3.653973
0.518363 	 3.769950
0.526217 	 3.892994
0.534071 	 4.023790
0.541925 	 4.163109
0.549779 	 4.311833
0.557633 	 4.470964
0.565487 	 4.641658
0.573341 	 4.825242
0.581195 	 5.023259
0.589049 	 5.237506
0.596903 	 5.470090
0.604757 	 5.723499
0.612611 	 6.000694
0.620465 	 6.305221
0.628319 	 6.641369
0.636173 	 7.014371
0.644026 	 7.430678
0.651880 	 7.898339
0.659734 	 8.427522
0.667588 	 9.031260
0.675442 	 9.726534
0.683296 	 10.535887
0.691150 	 11.489883
0.699004 	 12.631019
0.706858 	 14.020126
0.714712 	 15.747376
0.722566 	 17.952221
0.730420 	 20.861930
0.738274 	 24.872400
0.746128 	 30.736194
0.753982 	 40.065175
0.761836 	 56.962504
0.769690 	 95.134951
0.777544 	 229.268816
