Time 	 x 	 p
0.010000 	 0.999950 	 -0.010000
0.020000 	 0.999800 	 -0.019999
0.030000 	 0.999550 	 -0.029996
0.040000 	 0.999200 	 -0.039989
0.050000 	 0.998750 	 -0.049979
0.060000 	 0.998201 	 -0.059964
0.070000 	 0.997551 	 -0.069943
0.080000 	 0.996802 	 -0.079915
0.090000 	 0.995953 	 -0.089879
0.100000 	 0.995004 	 -0.099833
0.110000 	 0.993956 	 -0.109778
0.120000 	 0.992809 	 -0.119712
0.130000 	 0.991562 	 -0.129634
0.140000 	 0.990216 	 -0.139543
0.150000 	 0.988771 	 -0.149438
0.160000 	 0.987227 	 -0.159318
0.170000 	 0.985585 	 -0.169182
0.180000 	 0.983844 	 -0.179030
0.190000 	 0.982004 	 -0.188859
0.200000 	 0.980067 	 -0.198669
0.210000 	 0.978031 	 -0.208460
0.220000 	 0.975897 	 -0.218230
0.230000 	 0.973666 	 -0.227978
0.240000 	 0.971338 	 -0.237703
0.250000 	 0.968912 	 -0.247404
0.260000 	 0.966390 	 -0.257081
0.270000 	 0.963771 	 -0.266731
0.280000 	 0.961055 	 -0.276356
0.290000 	 0.958244 	 -0.285952
0.300000 	 0.955336 	 -0.295520
0.310000 	 0.952334 	 -0.305059
0.320000 	 0.949235 	 -0.314567
0.330000 	 0.946042 	 -0.324043
0.340000 	 0.942755 	 -0.333487
0.350000 	 0.939373 	 -0.342898
0.360000 	 0.935897 	 -0.352274
0.370000 	 0.932327 	 -0.361615
0.380000 	 0.928665 	 -0.370920
0.390000 	 0.924909 	 -0.380188
0.400000 	 0.921061 	 -0.389418
0.410000 	 0.917121 	 -0.398609
0.420000 	 0.913089 	 -0.407760
0.430000 	 0.908966 	 -0.416871
0.440000 	 0.904752 	 -0.425939
0.450000 	 0.900447 	 -0.434966
0.460000 	 0.896052 	 -0.443948
0.470000 	 0.891568 	 -0.452886
0.480000 	 0.886995 	 -0.461779
0.490000 	 0.882333 	 -0.470626
0.500000 	 0.877583 	 -0.479426
0.510000 	 0.872745 	 -0.488177
0.520000 	 0.867819 	 -0.496880
0.530000 	 0.862807 	 -0.505533
