Time 	 E 	 L 	 Deviation in E 	 Deviation in L
0.00000e+00 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
1.25664e-02 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
2.51327e-02 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 2.2204460492503131e-16
3.76991e-02 	 -5.00000e-01 	 1.00000e+00	5.551115e-17 	 2.2204460492503131e-16
5.02655e-02 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
6.28319e-02 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 1.1102230246251565e-16
7.53982e-02 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
8.79646e-02 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 3.3306690738754696e-16
1.00531e-01 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 3.3306690738754696e-16
1.13097e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 3.3306690738754696e-16
1.25664e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 3.3306690738754696e-16
1.38230e-01 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 2.2204460492503131e-16
1.50796e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 3.3306690738754696e-16
1.63363e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
1.75929e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 1.1102230246251565e-16
1.88496e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
2.01062e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 1.1102230246251565e-16
2.13628e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
2.26195e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
2.38761e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
2.51327e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
2.63894e-01 	 -5.00000e-01 	 1.00000e+00	5.551115e-17 	 0.0000000000000000e+00
2.76460e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
2.89027e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
3.01593e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 2.2204460492503131e-16
3.14159e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
3.26726e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
3.39292e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
3.51858e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
3.64425e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 1.1102230246251565e-16
3.76991e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
3.89557e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 0.0000000000000000e+00
4.02124e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
4.14690e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
4.27257e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 1.1102230246251565e-16
4.39823e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 1.1102230246251565e-16
4.52389e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
4.64956e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 1.1102230246251565e-16
4.77522e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
4.90088e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
5.02655e-01 	 -5.00000e-01 	 1.00000e+00	5.551115e-17 	 0.0000000000000000e+00
5.15221e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
5.27788e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
5.40354e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
5.52920e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
5.65487e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
5.78053e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
5.90619e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
6.03186e-01 	 -5.00000e-01 	 1.00000e+00	1.665335e-16 	 2.2204460492503131e-16
6.15752e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
6.28319e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 2.2204460492503131e-16
6.40885e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
6.53451e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
6.66018e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
6.78584e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
6.91150e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
7.03717e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
7.16283e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
7.28849e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
7.41416e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
7.53982e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 0.0000000000000000e+00
7.66549e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 0.0000000000000000e+00
7.79115e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
7.91681e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 0.0000000000000000e+00
8.04248e-01 	 -5.00000e-01 	 1.00000e+00	0.000000e+00 	 0.0000000000000000e+00
8.16814e-01 	 -5.00000e-01 	 1.00000e+00	2.220446e-16 	 2.2204460492503131e-16
8.29380e-01 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
8.41947e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
8.54513e-01 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
8.67080e-01 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 4.4408920985006262e-16
8.79646e-01 	 -5.00000e-01 	 1.00000e+00	2.775558e-16 	 4.4408920985006262e-16
8.92212e-01 	 -5.00000e-01 	 1.00000e+00	1.110223e-16 	 2.2204460492503131e-16
9.04779e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
9.17345e-01 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 4.4408920985006262e-16
9.29911e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
9.42478e-01 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 4.4408920985006262e-16
9.55044e-01 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 4.4408920985006262e-16
9.67611e-01 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 4.4408920985006262e-16
9.80177e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
9.92743e-01 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
1.00531e+00 	 -5.00000e-01 	 1.00000e+00	4.440892e-16 	 4.4408920985006262e-16
1.01788e+00 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 4.4408920985006262e-16
1.03044e+00 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 6.6613381477509392e-16
1.04301e+00 	 -5.00000e-01 	 1.00000e+00	7.771561e-16 	 6.6613381477509392e-16
1.05558e+00 	 -5.00000e-01 	 1.00000e+00	4.996004e-16 	 6.6613381477509392e-16
1.06814e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 6.6613381477509392e-16
1.08071e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 6.6613381477509392e-16
1.09327e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 6.6613381477509392e-16
1.10584e+00 	 -5.00000e-01 	 1.00000e+00	5.551115e-16 	 6.6613381477509392e-16
1.11841e+00 	 -5.00000e-01 	 1.00000e+00	6.661338e-16 	 6.6613381477509392e-16
1.13097e+00 	 -5.00000e-01 	 1.00000e+00	3.330669e-16 	 4.4408920985006262e-16
1.14354e+00 	 -5.00000e-01 	 1.00000e+00	6.106227e-16 	 6.6613381477509392e-16
