time 	 energy deviation
0.0000000000e+00 	 2.5500000000e-01
6.2831853072e-04 	 2.5500000000e-01
1.2566370614e-03 	 2.5500000000e-01
1.8849555922e-03 	 2.5500000000e-01
2.5132741229e-03 	 2.5500000000e-01
3.1415926536e-03 	 2.5500000000e-01
3.7699111843e-03 	 2.5500000000e-01
4.3982297150e-03 	 2.5500000001e-01
5.0265482457e-03 	 2.5500000001e-01
5.6548667765e-03 	 2.5500000001e-01
6.2831853072e-03 	 2.5500000002e-01
6.9115038379e-03 	 2.5500000003e-01
7.5398223686e-03 	 2.5500000003e-01
8.1681408993e-03 	 2.5500000004e-01
8.7964594301e-03 	 2.5500000006e-01
9.4247779608e-03 	 2.5500000007e-01
1.0053096491e-02 	 2.5500000008e-01
1.0681415022e-02 	 2.5500000010e-01
1.1309733553e-02 	 2.5500000012e-01
1.1938052084e-02 	 2.5500000014e-01
1.2566370614e-02 	 2.5500000016e-01
1.3194689145e-02 	 2.5500000019e-01
1.3823007676e-02 	 2.5500000022e-01
1.4451326207e-02 	 2.5500000025e-01
1.5079644737e-02 	 2.5500000028e-01
1.5707963268e-02 	 2.5500000032e-01
1.6336281799e-02 	 2.5500000036e-01
1.6964600329e-02 	 2.5500000040e-01
1.7592918860e-02 	 2.5500000044e-01
1.8221237391e-02 	 2.5500000049e-01
1.8849555922e-02 	 2.5500000055e-01
1.9477874452e-02 	 2.5500000060e-01
2.0106192983e-02 	 2.5500000066e-01
2.0734511514e-02 	 2.5500000073e-01
2.1362830044e-02 	 2.5500000080e-01
2.1991148575e-02 	 2.5500000087e-01
2.2619467106e-02 	 2.5500000095e-01
2.3247785637e-02 	 2.5500000103e-01
2.3876104167e-02 	 2.5500000111e-01
2.4504422698e-02 	 2.5500000120e-01
2.5132741229e-02 	 2.5500000130e-01
2.5761059759e-02 	 2.5500000140e-01
2.6389378290e-02 	 2.5500000150e-01
2.7017696821e-02 	 2.5500000161e-01
2.7646015352e-02 	 2.5500000173e-01
2.8274333882e-02 	 2.5500000185e-01
2.8902652413e-02 	 2.5500000197e-01
2.9530970944e-02 	 2.5500000211e-01
3.0159289474e-02 	 2.5500000224e-01
3.0787608005e-02 	 2.5500000239e-01
3.1415926536e-02 	 2.5500000253e-01
3.2044245067e-02 	 2.5500000269e-01
3.2672563597e-02 	 2.5500000285e-01
3.3300882128e-02 	 2.5500000302e-01
3.3929200659e-02 	 2.5500000319e-01
3.4557519189e-02 	 2.5500000337e-01
3.5185837720e-02 	 2.5500000356e-01
3.5814156251e-02 	 2.5500000376e-01
3.6442474782e-02 	 2.5500000396e-01
3.7070793312e-02 	 2.5500000417e-01
3.7699111843e-02 	 2.5500000438e-01
3.8327430374e-02 	 2.5500000460e-01
3.8955748905e-02 	 2.5500000483e-01
3.9584067435e-02 	 2.5500000507e-01
4.0212385966e-02 	 2.5500000532e-01
4.0840704497e-02 	 2.5500000557e-01
4.1469023027e-02 	 2.5500000583e-01
4.2097341558e-02 	 2.5500000610e-01
4.2725660089e-02 	 2.5500000638e-01
4.3353978620e-02 	 2.5500000666e-01
4.3982297150e-02 	 2.5500000696e-01
4.4610615681e-02 	 2.5500000726e-01
4.5238934212e-02 	 2.5500000757e-01
4.5867252742e-02 	 2.5500000789e-01
4.6495571273e-02 	 2.5500000822e-01
4.7123889804e-02 	 2.5500000856e-01
4.7752208335e-02 	 2.5500000891e-01
4.8380526865e-02 	 2.5500000926e-01
4.9008845396e-02 	 2.5500000963e-01
4.9637163927e-02 	 2.5500001001e-01
5.0265482457e-02 	 2.5500001039e-01
5.0893800988e-02 	 2.5500001079e-01
5.1522119519e-02 	 2.5500001119e-01
5.2150438050e-02 	 2.5500001161e-01
5.2778756580e-02 	 2.5500001203e-01
5.3407075111e-02 	 2.5500001247e-01
5.4035393642e-02 	 2.5500001291e-01
5.4663712172e-02 	 2.5500001337e-01
5.5292030703e-02 	 2.5500001384e-01
5.5920349234e-02 	 2.5500001431e-01
5.6548667765e-02 	 2.5500001480e-01
5.7176986295e-02 	 2.5500001530e-01
5.7805304826e-02 	 2.5500001581e-01
5.8433623357e-02 	 2.5500001633e-01
5.9061941887e-02 	 2.5500001687e-01
5.9690260418e-02 	 2.5500001741e-01
6.0318578949e-02 	 2.5500001797e-01
6.0946897480e-02 	 2.5500001854e-01
6.1575216010e-02 	 2.5500001912e-01
6.2203534541e-02 	 2.5500001971e-01
6.2831853072e-02 	 2.5500002031e-01
6.3460171603e-02 	 2.5500002093e-01
6.4088490133e-02 	 2.5500002156e-01
6.4716808664e-02 	 2.5500002220e-01
6.5345127195e-02 	 2.5500002285e-01
6.5973445725e-02 	 2.5500002352e-01
6.6601764256e-02 	 2.5500002420e-01
6.7230082787e-02 	 2.5500002489e-01
6.7858401318e-02 	 2.5500002560e-01
6.8486719848e-02 	 2.5500002632e-01
6.9115038379e-02 	 2.5500002705e-01
6.9743356910e-02 	 2.5500002779e-01
7.0371675440e-02 	 2.5500002855e-01
7.0999993971e-02 	 2.5500002933e-01
7.1628312502e-02 	 2.5500003011e-01
7.2256631033e-02 	 2.5500003091e-01
7.2884949563e-02 	 2.5500003173e-01
7.3513268094e-02 	 2.5500003256e-01
7.4141586625e-02 	 2.5500003340e-01
7.4769905155e-02 	 2.5500003426e-01
7.5398223686e-02 	 2.5500003513e-01
7.6026542217e-02 	 2.5500003602e-01
7.6654860748e-02 	 2.5500003692e-01
7.7283179278e-02 	 2.5500003784e-01
7.7911497809e-02 	 2.5500003877e-01
7.8539816340e-02 	 2.5500003972e-01
7.9168134870e-02 	 2.5500004069e-01
7.9796453401e-02 	 2.5500004166e-01
8.0424771932e-02 	 2.5500004266e-01
8.1053090463e-02 	 2.5500004367e-01
8.1681408993e-02 	 2.5500004470e-01
8.2309727524e-02 	 2.5500004574e-01
8.2938046055e-02 	 2.5500004680e-01
8.3566364585e-02 	 2.5500004787e-01
8.4194683116e-02 	 2.5500004896e-01
8.4823001647e-02 	 2.5500005007e-01
8.5451320178e-02 	 2.5500005119e-01
8.6079638708e-02 	 2.5500005233e-01
8.6707957239e-02 	 2.5500005349e-01
8.7336275770e-02 	 2.5500005466e-01
8.7964594301e-02 	 2.5500005586e-01
8.8592912831e-02 	 2.5500005707e-01
8.9221231362e-02 	 2.5500005829e-01
8.9849549893e-02 	 2.5500005954e-01
9.0477868423e-02 	 2.5500006080e-01
9.1106186954e-02 	 2.5500006208e-01
9.1734505485e-02 	 2.5500006337e-01
9.2362824016e-02 	 2.5500006469e-01
9.2991142546e-02 	 2.5500006602e-01
9.3619461077e-02 	 2.5500006738e-01
9.4247779608e-02 	 2.5500006875e-01
9.4876098138e-02 	 2.5500007013e-01
9.5504416669e-02 	 2.5500007154e-01
9.6132735200e-02 	 2.5500007297e-01
9.6761053731e-02 	 2.5500007441e-01
9.7389372261e-02 	 2.5500007588e-01
9.8017690792e-02 	 2.5500007736e-01
9.8646009323e-02 	 2.5500007886e-01
9.9274327853e-02 	 2.5500008039e-01
9.9902646384e-02 	 2.5500008193e-01
1.0053096491e-01 	 2.5500008349e-01
1.0115928345e-01 	 2.5500008507e-01
1.0178760198e-01 	 2.5500008667e-01
1.0241592051e-01 	 2.5500008829e-01
1.0304423904e-01 	 2.5500008993e-01
1.0367255757e-01 	 2.5500009160e-01
1.0430087610e-01 	 2.5500009328e-01
1.0492919463e-01 	 2.5500009498e-01
